reactionEnergy,Unnamed: 0,φ,Nd1,Np0,Out_e0,Out_e1,ψ1,First_IE0,CN,L_bond,R0,ΔGH,idx
-0.475939213,6194,34.04255319148936,5.222047,6.0,10.0,7.543223,1.69009,7.635,7.333333333,1.685532,1.24,-0.475939213,5570
-0.484592841,6195,19.672131147540984,3.457165,6.0,8.0,5.915925,1.670267,7.87,7.333333333,1.752952,1.32,-0.484592841,5571
-0.125762173,6196,23.480747703678716,7.0,6.0,9.0,9.0,1.962747,7.308461,7.333333333,1.715089,1.33761,-0.125762173,5572
-0.593258918,6197,14.205495423576767,5.421612,6.0,7.268482,7.444839,1.907444,7.604119,7.5,1.850963,1.389599,-0.593258918,5573
0.294384996,6198,6.0,6.0,6.0,5.0,8.0,1.83,7.89,7.5,1.799786,1.7,0.294384996,5574
-0.585274689,6199,13.792306731145056,5.532647,6.0,7.268482,7.5527,1.925499,7.906497,6.954545455,1.841408,1.413256,-0.585274689,5575
0.346115197,6200,41.968911917098445,9.240211,6.0,11.0,8.541999,2.023052,7.576,7.5,1.965781,1.45,0.346115197,5576
-0.622742316,6201,13.792306731145056,5.421612,6.0,7.268482,7.444839,1.950142,7.906497,7.5,1.8567,1.413256,-0.622742316,5577
0.166588772,6202,21.491228070175442,7.0,6.0,9.0,9.0,1.91,7.46,7.5,1.595764,1.42,0.166588772,5578
-0.168693301,6203,25.654450261780106,7.677968,6.0,9.0,9.681012,1.88918,7.16,7.333333333,1.671105,1.26,-0.168693301,5579
-0.415680556,6206,34.04255319148936,3.595404,6.0,10.0,6.293508,1.659868,7.635,7.333333333,1.675005,1.24,-0.415680556,5580
0.298523031,6207,19.672131147540984,7.322296,6.0,8.0,9.336445,2.130862,7.87,7.333333333,1.706883,1.32,0.298523031,5581
0.132793322,6208,19.672131147540984,7.322296,6.0,8.0,9.336445,2.078816,7.87,7.333333333,1.707556,1.32,0.132793322,5582
-0.524870995,6209,16.956279002139258,6.086092,6.0,7.862224,8.132418,1.969647,7.139609,7.5,1.823034,1.347164,-0.524870995,5583
0.183278194,6210,28.070175438596493,6.555321,6.0,10.0,8.568572,1.958081,9.0,7.333333333,1.770004,1.36,0.183278194,5584
-0.157282207,6211,34.04255319148936,7.293596,6.0,10.0,9.296548,1.900719,7.635,7.333333333,1.633927,1.24,-0.157282207,5585
0.21536028,6212,7.4074074074074066,7.0,6.0,6.0,9.0,1.91,7.099,7.5,1.740336,1.54,0.21536028,5586
-0.457629081,6213,16.129032258064516,4.400559,6.0,7.0,6.435259,1.569624,7.435,7.5,1.822405,1.39,-0.457629081,5587
-0.537889738,6214,16.129032258064516,4.728708,6.0,7.0,6.735368,1.684078,7.435,7.5,1.82053,1.39,-0.537889738,5588
-0.45831127,6215,12.444029599099519,4.728708,6.0,6.6494,6.735368,1.684078,7.321269,7.5,1.879103,1.438302,-0.45831127,5589
-0.443158475,6217,34.04255319148936,4.693842,6.0,10.0,7.029851,1.645689,7.635,7.333333333,1.709995,1.24,-0.443158475,5590
-0.347086099,6218,16.129032258064516,4.588777,6.0,7.0,6.597042,1.822027,7.435,7.333333333,1.731188,1.39,-0.347086099,5591
-0.661787795,6219,13.24192875606172,5.045378,6.0,6.839904,7.113118,1.74125,7.876661,7.5,1.880205,1.436147,-0.661787795,5592
-0.558398142,6220,14.205495423576767,5.532647,6.0,7.268482,7.5527,1.891697,7.604119,6.954545455,1.840814,1.389599,-0.558398142,5593
-0.584715223,6221,12.880095944110625,5.045378,6.0,6.839904,7.113118,1.777809,7.473714,7.5,1.834355,1.386585,-0.584715223,5594
-0.647012693,6222,12.96010540930272,5.045378,6.0,6.839904,7.113118,1.769572,7.525106,7.5,1.883386,1.419048,-0.647012693,5595
-0.048784025,6223,19.672131147540984,6.0,6.0,8.0,8.0,1.83,7.87,2.909090909,1.621535,1.32,-0.048784025,5596
-0.125443119,6224,19.672131147540984,6.0,6.0,8.0,8.0,1.83,7.87,2.8,1.61171,1.32,-0.125443119,5597
1.051191677,6225,0.7352941176470588,6.0,6.0,3.0,8.0,1.83,8.54,7.5,1.839648,1.7,1.051191677,5598
-0.336080591,6226,19.672131147540984,3.974027,6.0,8.0,6.168843,1.609758,7.87,6.666666667,1.646979,1.32,-0.336080591,5599
-0.52610095,6228,19.672131147540984,3.932268,6.0,8.0,6.127865,1.604474,7.87,7.333333333,1.778653,1.32,-0.52610095,5600
0.074299323,6229,13.157894736842106,7.0,6.0,7.0,9.0,1.91,7.28,7.5,1.677249,1.47,0.074299323,5601
0.573694749,6230,3.0769230769230766,6.0,6.0,4.0,8.0,1.83,6.65,7.5,1.856921,1.75,0.573694749,5602
-0.505594995,6231,15.374229603577644,5.908846,6.0,7.398636,8.001806,1.850394,7.01717,6.954545455,1.795763,1.344242,-0.505594995,5603
0.360074773,6232,0.0,0.0,1.0,3.0,7.133492,1.816827,5.986,7.5,1.698591,1.21,0.360074773,5604
-0.507144412,6233,19.672131147540984,3.932268,6.0,8.0,6.127865,1.618615,7.87,7.333333333,1.77647,1.32,-0.507144412,5605
-0.48969239,6234,15.374229603577644,5.663747,6.0,7.398636,7.77006,1.835785,7.01717,7.5,1.802728,1.344242,-0.48969239,5606
-0.409708473,6235,25.654450261780106,2.374647,6.0,9.0,4.888495,1.488954,7.16,4.823529412,1.721635,1.26,-0.409708473,5607
-0.36403539,6236,7.148177314313627,5.066966,6.0,5.656854,7.190808,1.782064,7.326213,7.333333333,1.795663,1.453272,-0.36403539,5608
-0.588222635,6237,10.01722369326582,4.559014,6.0,6.349604,6.727171,1.752744,7.503167,7.5,1.859539,1.407416,-0.588222635,5609
-0.408303413,6239,34.04255319148936,3.595404,6.0,10.0,6.293508,1.591944,7.635,7.333333333,1.685042,1.24,-0.408303413,5610
0.88671723,6240,41.968911917098445,9.321698,6.0,11.0,7.851424,2.055055,7.576,7.5,1.783964,1.45,0.88671723,5611
-0.610169704,6241,19.672131147540984,4.847598,6.0,8.0,6.922833,1.755913,7.87,7.333333333,1.751345,1.32,-0.610169704,5612
-0.531753707,6242,19.672131147540984,4.847598,6.0,8.0,6.922833,1.765978,7.87,7.333333333,1.700912,1.32,-0.531753707,5613
0.490952414,6243,41.968911917098445,9.387404,6.0,11.0,7.339384,2.081022,7.576,6.954545455,1.939239,1.45,0.490952414,5614
-0.645399194,6244,13.24192875606172,5.223303,6.0,6.839904,7.282257,1.758649,7.876661,6.954545455,1.866015,1.436147,-0.645399194,5615
0.509336425,6245,0.0,0.0,2.44949,5.744563,6.038926,1.775087,6.734236,7.333333333,1.852459,1.324575,0.509336425,5616
-0.811296389,6246,16.363636363636363,1.291708,6.0,8.0,3.45123,1.214498,7.37,5.0,1.733817,1.46,-0.811296389,5617
0.733037266,6247,42.918454935622314,10.0,2.0,4.0,3.634241,2.129989,7.416,7.5,1.892104,1.46,0.733037266,5618
0.484855975,6248,60.60606060606061,10.0,6.0,12.0,8.320335,1.747463,9.394,6.055555556,1.764778,1.22,0.484855975,5619
-0.067012931,6250,21.491228070175442,9.146912,6.0,9.0,3.948222,1.893646,7.46,6.166666667,1.596753,1.42,-0.067012931,5620
0.128067657,6251,3.007518796992481,5.848035,6.0,4.0,3.301927,1.516913,6.84,7.5,1.902714,1.75,0.128067657,5621
-0.172882902,6252,13.157894736842106,6.839904,6.0,7.0,8.87904,2.145562,7.88,7.5,1.676789,1.51,-0.172882902,5622
0.079700783,6253,22.27272727272727,8.276773,6.0,9.0,10.288276,2.016102,9.1,6.666666667,1.688954,1.41,0.079700783,5623
0.031925212,6254,0.0,0.0,1.817121,3.779763,4.242641,1.634809,6.23546,7.227272727,1.893725,1.267249,0.031925212,5624
-0.143658011,6255,21.491228070175442,9.37208,6.0,9.0,3.663284,1.861951,7.46,5.833333333,1.805392,1.42,-0.143658011,5625
0.127961397,6256,3.007518796992481,5.848035,6.0,4.0,3.301927,1.516913,6.84,7.5,1.900339,1.75,0.127961397,5626
-0.22643817,6257,22.27272727272727,8.276773,6.0,9.0,10.288276,2.016102,9.1,6.666666667,1.58885,1.41,-0.22643817,5627
