idx,y_true,y_struct,y_hat,abs_y_hat
803,-0.12923176,-0.2679143466115127,-0.1299334,0.1299334
7407,-0.132400667,0.0774386070687106,-0.13146634,0.13146634
79,-0.119764103,-0.7160347773802678,-0.1325492,0.1325492
6671,-0.117437885,-0.317145924468064,-0.13263504,0.13263504
7852,-0.126063266,-0.0179954548767713,-0.13379721,0.13379721
8026,-0.128387527,-0.4709700727483935,-0.13408908,0.13408908
5434,-0.132321068,0.0740588236154284,-0.13452764,0.13452764
3519,0.156397701,-0.5086479508062194,0.13503967,0.13503967
1955,-0.147063065,0.2652683629512452,-0.13591807,0.13591807
6664,-0.117593785,-0.3335906449665817,-0.13593026,0.13593026
9343,-0.131935805,0.0015546896128527,-0.14193153,0.14193153
5299,0.16393471,0.2475746537156382,0.14285423,0.14285423
1697,0.151796256,-0.0515272351574554,0.14316513,0.14316513
4910,0.15322567,-0.0022501216583607,0.1442944,0.1442944
8152,-0.129300365,-0.2806271699891508,-0.14474924,0.14474924
7518,0.178227905,-0.5354709072259672,0.14592294,0.14592294
3534,-0.150316773,0.4784362775427476,-0.14683565,0.14683565
7749,-0.153773571,0.2638026953039756,-0.14705819,0.14705819
3649,-0.122201971,-0.2515396418725297,-0.14742026,0.14742026
2577,-0.151221824,0.1478358080397424,-0.14826886,0.14826886
4642,-0.149823975,-0.2175208892136755,-0.14839104,0.14839104
5899,0.144209042,0.4717506437223936,0.1486424,0.1486424
4521,0.15388473,0.4761846314310731,0.14931302,0.14931302
5625,-0.143658011,-0.172915626123687,-0.14935985,0.14935985
4804,0.163732938,0.0849089136940488,0.15023921,0.15023921
8452,-0.138349342,-0.4040634819399069,-0.15071042,0.15071042
8180,-0.144444692,-1.116898839598736,-0.15080996,0.15080996
1508,0.180831075,0.2073531408875542,0.15115671,0.15115671
1967,-0.145014135,-0.1903961200960535,-0.15169182,0.15169182
7587,0.161877393,0.4072718563361584,0.1535856,0.1535856
9979,0.181162509,-0.3468251556447751,0.15416344,0.15416344
8066,-0.167830564,0.1814929581605811,-0.15459616,0.15459616
416,-0.155723131,0.3096224616567569,-0.15465002,0.15465002
5009,-0.138094508,-0.1805533992013542,-0.15493964,0.15493964
